Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"src/modules/rlm_detail/rlm_detail.c",7,34,10,88,385,162,4,4,4,1,50,6,28,9,,,,,0,,,,,,,8,,,,,,,,,,,,,,,,,,,614,,,,78,,,,271,,,70,46,138,,,,113,38,,,,161,121,75,,,0,46,,,,,,,,21,21,24,5,,,3,,,,0.51,29,29,32,12
File,"src/modules/rlm_digest/rlm_digest.c",26,112,49,85,357,193,16,16,16,2,184,26,110,49,,,,,0,,,,,,,3,,,,,,,,,,,,,,,,,,,614,,,,85,,,,349,,,31,46,193,,,,0,8,,,,213,118,33,,,0,85,,,,,,,,41,41,41,5,,,3,,,,0.55,47,47,47,7
File,"src/modules/rlm_dynamic_clients/rlm_dynamic_clients.c",0,5,0,13,70,57,1,1,1,1,5,0,5,0,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,128,,,,4,,,,25,,,4,1,43,,,,63,5,,,,27,5,4,,,0,1,,,,,,,,1,1,1,1,,,0,,,,1.72,1,1,1,1
File,"src/modules/rlm_eap/eap.c",10,45,25,153,593,435,6,6,7,4,79,10,44,25,,,,,0,,,,,,,13,,,,,,,,,,,,,,,,,,,1172,,,,153,,,,575,,,76,192,435,,,,6,12,,,,295,266,72,,,2,192,,,,,,,,19,19,19,14,,,3,,,,0.76,80,77,87,54
File,"src/modules/rlm_eap/eap.h",0,0,0,23,58,77,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,154,,,,23,,,,45,,,0,0,77,,,,0,13,,,,36,45,45,,,0,0,,,,,,,,0,0,0,0,,,0,,,,1.71,0,0,0,0
File,"src/modules/rlm_eap/libeap/comp128.c",4,19,3,53,299,106,4,4,4,1,25,4,19,3,,,,,0,,,,,,,7,,,,,,,,,,,,,,,,,,,458,,,,44,,,,232,,,125,182,105,,,,73,6,,,,146,147,41,,,0,106,,,,,,,,8,8,8,1,,,3,,,,0.45,29,29,29,7
File,"src/modules/rlm_eap/libeap/comp128.h",0,0,0,3,8,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,11,,,,3,,,,2,,,0,0,0,,,,0,6,,,,2,2,2,,,0,0,,,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
File,"src/modules/rlm_eap/libeap/eap_sim.h",0,0,0,24,93,48,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,164,,,,24,,,,47,,,0,0,48,,,,0,46,,,,25,39,39,,,0,0,,,,,,,,0,0,0,0,,,0,,,,1.02,0,0,0,0
File,"src/modules/rlm_eap/libeap/eap_tls.c",8,34,24,123,416,474,4,4,4,1,66,8,33,24,,,,,0,,,,,,,12,,,,,,,,,,,,,,,,,,,1001,,,,122,,,,403,,,62,58,474,,,,8,6,,,,240,149,69,,,1,79,,,,,,,,8,8,8,5,,,3,,,,1.18,46,46,46,16
File,"src/modules/rlm_eap/libeap/eap_tls.h",0,0,0,21,61,31,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,111,,,,21,,,,28,,,0,0,31,,,,2,33,,,,23,25,25,,,0,0,,,,,,,,0,0,0,0,,,0,,,,1.11,0,0,0,0
