,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
2122,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sdp/sdp_print.c,1.0,17.0,0.0,85.0,542.0,120.0,5.0,4.0,6.0,1.0,18.0,1.0,17.0,0.0,0.0,29.0,742.0,85.0,527.0,106.0,730.0,120.0,1.0,14.0,291.0,442.0,95.0,7.0,340.0,40.0,23.0,44.0,7.0,4.0,0.23,146.0,121.0,181.0,50.0,15,719,62,3,0
2123,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sdp/sdp_tag.c,0.0,0.0,0.0,7.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,7.0,4.0,3.0,4.0,32.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3,45,5,1,0
2124,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sdp/test_sdp.c,9.0,37.0,0.0,23.0,80.0,33.0,5.0,5.0,6.0,2.0,46.0,9.0,37.0,0.0,0.0,2.0,136.0,23.0,74.0,20.0,37.0,33.0,0.0,6.0,45.0,55.0,23.0,0.0,32.0,6.0,6.0,6.0,3.0,4.0,0.45,9.0,9.0,11.0,4.0,2,115,2,1,0
2125,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sdp/torture_sdp.c,7.0,32.0,1.0,169.0,715.0,56.0,80.0,80.0,90.0,16.0,41.0,7.0,32.0,1.0,0.0,17.0,944.0,169.0,699.0,220.0,264.0,56.0,0.0,16.0,502.0,2952.0,314.0,0.0,2638.0,578.0,578.0,618.0,116.0,3.0,0.08,1367.0,1367.0,1522.0,279.0,6,820,45,1,0
2126,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sip/sip_basic.c,2.0,12.0,1.0,390.0,1204.0,1234.0,3.0,3.0,4.0,1.0,15.0,2.0,12.0,1.0,0.0,90.0,2799.0,390.0,1159.0,347.0,2321.0,1233.0,8.0,38.0,520.0,837.0,290.0,12.0,535.0,21.0,21.0,30.0,14.0,4.0,1.06,311.0,311.0,389.0,144.0,13,2707,298,2,0
2127,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sip/sip_caller_prefs.c,2.0,10.0,0.0,69.0,180.0,181.0,3.0,3.0,3.0,1.0,12.0,2.0,10.0,0.0,0.0,15.0,429.0,69.0,158.0,54.0,70.0,181.0,3.0,19.0,74.0,137.0,54.0,4.0,79.0,13.0,13.0,18.0,9.0,4.0,1.15,42.0,42.0,51.0,23.0,4,393,32,2,0
2128,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sip/sip_event.c,2.0,11.0,0.0,83.0,256.0,220.0,3.0,3.0,4.0,1.0,13.0,2.0,11.0,0.0,0.0,13.0,551.0,57.0,153.0,52.0,73.0,172.0,157.0,14.0,133.0,127.0,49.0,0.0,78.0,6.0,6.0,9.0,5.0,2.0,1.12,39.0,39.0,50.0,20.0,6,518,50,1,0
2129,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sip/sip_extra.c,1.0,7.0,0.0,202.0,505.0,715.0,2.0,2.0,2.0,1.0,9.0,1.0,7.0,0.0,0.0,34.0,1419.0,140.0,301.0,101.0,813.0,477.0,476.0,35.0,179.0,199.0,91.0,5.0,103.0,9.0,9.0,13.0,7.0,3.0,1.58,64.0,64.0,77.0,44.0,11,1370,154,2,0
2130,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sip/sip_feature.c,1.0,9.0,0.0,78.0,224.0,295.0,2.0,2.0,3.0,1.0,10.0,1.0,9.0,0.0,0.0,21.0,596.0,78.0,213.0,67.0,96.0,295.0,0.0,11.0,87.0,142.0,55.0,2.0,85.0,20.0,20.0,27.0,13.0,5.0,1.38,48.0,48.0,57.0,40.0,5,568,50,1,1
2131,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sip/sip_header.c,1.0,7.0,0.0,20.0,66.0,50.0,1.0,1.0,2.0,1.0,7.0,1.0,7.0,0.0,0.0,8.0,136.0,20.0,52.0,22.0,12.0,50.0,0.0,14.0,15.0,27.0,12.0,0.0,15.0,2.0,2.0,3.0,1.0,1.0,0.96,10.0,10.0,12.0,8.0,2,118,2,1,0
